,year,lgID,teamID,avg_ba
329,2017,AL,ATL,0.19120912544049792
330,2008,AL,NYN,0.1911796685116561
331,2011,AL,TOR,0.19115493227448765
332,2006,AL,CIN,0.19113023629226242
333,2013,AL,CHN,0.19111922189210717
334,2017,AL,WAS,0.19110975437505628
335,2014,AL,CLE,0.19107923083920358
336,2002,AL,CLE,0.19105255858905795
337,2008,AL,NYA,0.19061247483408617
338,2019,AL,PIT,0.19047628448837892
339,2011,AL,SFN,0.19047359341338688
340,2019,AL,NYA,0.19039026806598283
341,2011,AL,WAS,0.19036753255518046
342,2013,AL,HOU,0.1902617332493821
343,2008,AL,WAS,0.19018156097752398
344,2013,AL,ATL,0.18994495872859302
345,2004,AL,TEX,0.18993733668316284
346,2007,AL,ARI,0.18960304567674033
347,2006,AL,WAS,0.1894682554328986
348,2018,AL,HOU,0.18915624466509506
349,2006,AL,OAK,0.18909119588337897
350,2002,AL,HOU,0.1888965293626126
351,2019,AL,CHA,0.18872692950237546
352,2014,AL,ARI,0.1884835320001652
353,2001,AL,MON,0.18845315213375333
354,2019,AL,KCA,0.18843340478216866
355,2017,AL,LAA,0.18817280829764638
356,2003,AL,OAK,0.18814571636333574
357,2003,AL,SDN,0.18799113482884716
358,2008,AL,SDN,0.18796206726264128
359,2016,AL,BOS,0.1878243589676997
360,2005,AL,TBA,0.18756402095270955
361,2008,AL,LAA,0.18743486028120768
362,2007,AL,CIN,0.18737432187093045
363,2013,AL,TEX,0.18735676188717376
364,2008,AL,BOS,0.1873065174597759
365,2001,AL,OAK,0.18719863571945428
366,2010,AL,PIT,0.187093035376224
367,2018,AL,BAL,0.18705573661305194
368,2012,AL,DET,0.18699619002680334
369,2008,AL,ATL,0.18655111870194374
370,2003,AL,MIL,0.18627952689935076
371,2012,AL,BAL,0.18617064857453033
372,2015,AL,SLN,0.18609204818463107
373,2009,AL,CLE,0.1859135003563708
374,2004,AL,NYN,0.1858431456300532
375,2006,AL,ARI,0.18572970096193914
376,2008,AL,LAN,0.18572922512652748
377,2004,AL,KCA,0.1856754494669189
378,2017,AL,PHI,0.18567500295350767
379,2010,AL,ARI,0.18536621059265554
380,2015,AL,PHI,0.18503400001838993
381,2010,AL,PHI,0.1848490315034788
382,2003,AL,LAN,0.1847945460426395
383,2011,AL,NYA,0.1847373474873007
384,2012,AL,TOR,0.18453960103658795
385,2006,AL,ATL,0.1844639145718324
386,2004,AL,COL,0.1844320153594368
387,2008,AL,CHN,0.1843796355917833
388,2016,AL,HOU,0.18437385363371792
389,2017,AL,SFN,0.1842394135157542
390,2008,AL,SFN,0.18422890212071036
391,2009,AL,DET,0.18421313827597657
392,2007,AL,PHI,0.1841903573250373
393,2013,AL,MIN,0.184149602140556
394,2014,AL,BAL,0.18384229218913378
395,2005,AL,LAA,0.18383094983160236
396,2002,AL,SLN,0.1836059497661041
397,2013,AL,PHI,0.18344399300463976
398,2009,AL,ATL,0.1834050312182949
399,2019,AL,BOS,0.18329727332310694
400,2010,AL,CHN,0.1831166328225885
401,2010,AL,WAS,0.18295359307722614
402,2018,AL,ATL,0.182801157259024
403,2018,AL,CHN,0.18243753914039107
404,2002,AL,CIN,0.1820735402548369
405,2014,AL,TOR,0.182052712884624
406,2013,AL,MIA,0.18191981559075301
407,2003,AL,TBA,0.18164592526048118
408,2004,AL,PHI,0.18153448265677655
409,2013,AL,NYN,0.18152956229294454
410,2002,AL,BAL,0.18132510883134628
411,2002,AL,PHI,0.18132354675699794
412,2010,AL,FLO,0.18122884070679735
413,2004,AL,OAK,0.1811450584414656
414,2010,AL,LAN,0.18108715352437094
415,2017,AL,CHN,0.18072983541699847
416,2014,AL,CIN,0.18068822188435804
417,2010,AL,SDN,0.1805993823411914
418,2004,AL,ARI,0.1805309927990155
419,2013,AL,ARI,0.1804324680195885
420,2011,AL,KCA,0.18020169675049322
421,2016,AL,SLN,0.1801724449708861
422,2004,AL,HOU,0.18009665950713147
423,2013,AL,NYA,0.18006936883243116
424,2012,AL,BOS,0.17986034052400876
425,2001,AL,CIN,0.17971036695718642
426,2014,AL,MIA,0.1796541238036896
427,2015,AL,SEA,0.17959979251725297
428,2017,AL,CIN,0.179495173589142
429,2019,AL,TEX,0.17924754863731
430,2005,AL,FLO,0.1792375935610971
431,2009,AL,SLN,0.17917406543515824
432,2005,AL,CIN,0.17909304523255762
433,2015,AL,SFN,0.1786803737998774
434,2009,AL,ARI,0.17860959464354464
435,2017,AL,TOR,0.17857913000766815
436,2011,AL,PIT,0.17847966789848377
437,2017,AL,TEX,0.17846978594979973
438,2009,AL,WAS,0.17836998483549701
439,2004,AL,SDN,0.17829813089518823
440,2015,AL,ATL,0.17820134727112324
441,2006,AL,PIT,0.1781077697250477
442,2012,AL,ATL,0.177916651369548
443,2017,AL,PIT,0.17753288924306565
444,2019,AL,WAS,0.17745793927112366
445,2004,AL,LAN,0.17724141865582116
446,2018,AL,LAN,0.17695741453379457
447,2008,AL,HOU,0.1768764727732235
448,2013,AL,OAK,0.1767776839602685
449,2014,AL,COL,0.1766688964620732
450,2007,AL,CHA,0.17659032373146688
451,2009,AL,TOR,0.17647354024624268
452,2001,AL,NYA,0.1762461480557623
453,2013,AL,COL,0.1762284653275847
454,2005,AL,ARI,0.17617215965987942
455,2017,AL,LAN,0.17572854623368195
456,2019,AL,COL,0.17559915641342677
457,2013,AL,TOR,0.1755589283888019
458,2011,AL,OAK,0.17509269961160737
459,2018,AL,WAS,0.17507774281125002
460,2015,AL,LAN,0.17505875138933755
461,2012,AL,OAK,0.17497291291679007
462,2006,AL,PHI,0.17478671419005468
463,2015,AL,SDN,0.17468725881923716
464,2002,AL,PIT,0.17450843231680016
465,2005,AL,LAN,0.1742877048725517
466,2004,AL,BAL,0.17411749669408413
467,2013,AL,SDN,0.17394762901444058
468,2016,AL,MIL,0.17392671543684804
469,2017,AL,HOU,0.17380293422269436
470,2004,AL,TOR,0.17380275923043942
471,2016,AL,PHI,0.17371809782319497
472,2009,AL,TEX,0.1735466601646899
473,2012,AL,TBA,0.17353808349741526
474,2012,AL,NYN,0.17344786877875712
475,2013,AL,MIL,0.17339098818733215
476,2008,AL,CIN,0.17333887094408595
477,2010,AL,ATL,0.17324278764802264
478,2001,AL,HOU,0.17305634828081026
479,2007,AL,CHN,0.17293514112563804
480,2014,AL,SEA,0.17266039231886363
481,2013,AL,BAL,0.1724313052668484
482,2018,AL,MIA,0.1722957011140122
483,2014,AL,SDN,0.17211566088685504
484,2001,AL,NYN,0.1720116067292973
485,2010,AL,SEA,0.17198557657082642
486,2011,AL,CHN,0.17194856868606626
487,2019,AL,CLE,0.1716530305365506
488,2013,AL,SFN,0.17144942779697026
489,2019,AL,TOR,0.1711400660746562
490,2011,AL,LAN,0.17113718720416496
491,2005,AL,SDN,0.17092030352855642
492,2018,AL,NYA,0.17069655841002915
493,2002,AL,FLO,0.1705146299160638
494,2004,AL,CHN,0.17033149070098985
495,2012,AL,MIN,0.17013845032923752
496,2018,AL,TEX,0.17008842907276367
497,2014,AL,TBA,0.1699912769888547
498,2011,AL,FLO,0.1699899094784248
499,2018,AL,SLN,0.16980889481064643
500,2012,AL,MIL,0.1696507491567647
501,2016,AL,SDN,0.16928095448522604
502,2019,AL,ARI,0.1691546737530285
503,2004,AL,FLO,0.16906709952309543
504,2014,AL,LAN,0.1689770450339319
505,2002,AL,SDN,0.16861947862903123
506,2016,AL,ATL,0.16823454206215446
507,2019,AL,SFN,0.16818676375111494
508,2001,AL,PIT,0.16813307914881717
509,2006,AL,HOU,0.16813193916362865
510,2012,AL,CHN,0.16803061060018012
511,2010,AL,LAA,0.16792705966132168
512,2016,AL,ARI,0.16703383223607088
513,2009,AL,PIT,0.16663642102643617
514,2009,AL,SDN,0.16657306865687704
515,2014,AL,SFN,0.16643439452435752
516,2005,AL,CLE,0.16566519269050914
517,2019,AL,CHN,0.1655709765270519
518,2001,AL,MIL,0.16530573380700392
519,2018,AL,DET,0.16505424170582184
520,2013,AL,SEA,0.16468247544511064
521,2015,AL,PIT,0.16432463166915695
522,2006,AL,MIL,0.16421646817757288
523,2003,AL,CIN,0.163987212473693
524,2012,AL,PIT,0.16351173215113382
525,2009,AL,HOU,0.163441809552727
526,2016,AL,CHN,0.16323742355316595
527,2002,AL,MIL,0.1631100989283403
528,2014,AL,PHI,0.16307877466896473
529,2001,AL,SDN,0.16271997787138714
530,2003,AL,NYN,0.16269413029711766
531,2012,AL,SFN,0.1617048437069638
532,2015,AL,MIL,0.1616439630845077
533,2016,AL,PIT,0.16091922888746926
534,2019,AL,MIL,0.16059615550297435
535,2014,AL,MIL,0.16059364431683076
536,2019,AL,MIA,0.16033298061617748
537,2016,AL,TOR,0.16019098540773163
538,2013,AL,LAN,0.1600851167136401
539,2006,AL,NYN,0.15993894204656392
540,2004,AL,CIN,0.15952086064081394
541,2019,AL,LAA,0.15892532311992244
542,2013,AL,PIT,0.15880536729749017
543,2002,AL,ATL,0.15872794765184092
544,2018,AL,NYN,0.1582458037909689
545,2004,AL,MIL,0.15820265727462457
546,2014,AL,OAK,0.15798873146824105
547,2007,AL,WAS,0.15784231987218209
548,2016,AL,OAK,0.15732305538348118
549,2019,AL,SDN,0.15731567363408933
550,2008,AL,COL,0.15662729263256603
551,2019,AL,SEA,0.15591962623342207
552,2008,AL,FLO,0.15544463927266855
553,2019,AL,ATL,0.15500888555662942
554,2017,AL,MIL,0.15358428149438885
555,2015,AL,CIN,0.15355676967057516
556,2016,AL,LAN,0.1531107650515905
557,2012,AL,SDN,0.1530508753632289
558,2003,AL,HOU,0.15211242448933426
559,2003,AL,MON,0.15141224505232154
560,2012,AL,MIA,0.15012360093252944
561,2018,AL,PHI,0.14994110684626924
562,2007,AL,FLO,0.14935695612100747
563,2019,AL,PHI,0.14815690630218284
564,2017,AL,MIA,0.14741441832056001
565,2016,AL,CIN,0.1447084838958827
566,2018,AL,ARI,0.1433350419175886
567,2018,AL,CIN,0.14197640582474247
568,2013,AL,SLN,0.14021666694700471
569,2018,AL,SDN,0.134904102445676
